Year,Lower_EJ,Middle_EJ,Upper_EJ
2020,1.4830120801361466,1.625874131302731,1.625874131302731
2021,1.7266268683744161,1.7805314706302902,1.7805314706302902
2022,1.9956083910120386,1.9956083910120386,2.003133728885157
2023,2.2711048924479766,2.2711048924479766,2.3158746532327927
2024,2.6070209749381044,2.6070209749381044,2.668388039222366
2025,3.0033566384824213,3.0033566384824213,3.0644045814496024
2026,3.4601118830809283,3.4601118830809283,3.5078414226293617
2027,3.977286708733624,3.977286708733624,4.004258826297167
2028,4.553529406622579,4.55488111544051,4.559012116914153
2029,5.1644698338744375,5.192895103201586,5.192895103201586
2030,5.839745301818446,5.891328672016851,5.891328672016851
2031,6.565099829196165,6.650181821886305,6.650181821886305
2032,7.344020032567837,7.469454552809949,7.469454552809949
2033,8.171921210526461,8.349146864787782,8.349146864787782
2034,9.04233981968216,9.289258757819805,9.289258757819805
2035,9.947030558368485,10.289790231906018,10.358563769479671
2036,10.876210018607397,11.35074128704642,11.525036882800604
2037,11.818940125835,12.472111923241009,12.790955833438666
2038,12.763623970413388,13.653902140489791,14.161421113483678
2039,13.698568482245422,14.896111938792762,15.641504191715793
2040,14.612557021780212,16.19874131814992,17.236224184196075
2041,15.495373238271517,17.561790278561272,18.950524381244183
2042,16.33822592598861,18.98525882002681,20.78924881734805
2043,17.134040943723235,20.46914694254654,22.757119068328457
2044,17.87760656905742,22.013454646120458,24.858711455708182
2045,18.56557844468773,23.618181930748566,27.098434831851115
2046,19.196365864282793,25.28332879643086,29.480509111212026
2047,19.76993051381496,27.00889524316735,32.00894470315651
2048,20.287531702643157,28.794881270958026,34.68752299048236
2049,20.751449742475344,30.641286879802895,37.51977798520824
2050,21.16471332400747,32.54811206970194,40.5089792796199
2051,21.53084942433143,34.515356840655194,43.658116396199915
2052,21.853667004767075,36.54302119266263,46.969884625136125
2053,22.137079527070647,38.63110512572425,50.4466724228278
2054,22.384966589015427,40.77960863984006,54.090550429388124
2055,22.601071813137768,42.98853173501006,57.90326214778352
2056,22.788932319808154,45.25787441123426,61.88621631212662
2057,22.95183437028379,47.587636668512644,66.04048095792909
2058,23.092789754418124,49.97781850684521,70.36677919296132
2059,23.214527938892985,52.428419926231975,74.86548665390244
2060,23.319499666016377,54.93944092667292,79.53663062129783
2061,23.409888446244327,57.51088150816807,84.37989075357609
2062,23.487627121731105,60.14274167071739,89.39460139008149
2063,23.554417338639894,62.83502141432091,94.57975536331615
2064,23.61175032820359,65.58772073897862,99.93400925188956
2065,23.660927855650634,68.40083964469052,105.45568999807293
2066,23.703082558461848,71.27437813145661,111.14280280735518
2067,23.739197172991016,74.20833619927689,116.99304024199063
2068,23.7701223552191,77.20271384815136,123.00379241619693
2069,23.796592951066348,80.25751107808001,129.1721581973763
2070,23.81924267665855,83.37272788906286,135.49495731544687
2071,23.838617239808382,86.5483642810999,141.968743281045
2072,23.855185979396882,89.7844202541911,148.5898170129287
2073,23.8693521262166,93.08089580833654,155.35424107531787
2074,23.881461802512977,96.43779094353613,162.25785442708718
2075,23.891811881997125,99.85510565978993,169.2962875866073
2076,23.900656830528114,103.3328399570979,176.46497811854138
2077,23.908214642190533,106.87099383546007,183.75918635197698
2078,23.914671977713372,110.46956729487646,191.17401124283452
2079,23.920188603205297,114.128560335347,198.70440629747242
2080,23.92490121778516,117.84797295687173,206.34519547874064
2081,23.928926749372245,121.62780515945067,214.091089020348
2082,23.932365188990975,125.4680569430838,221.93669908024478
2083,23.935302025629337,129.3687283077711,229.87655516872266
2084,23.93781033606831,133.3298192535126,237.9051192920356
2085,23.93995257720662,137.35132978030828,246.0168007575091
2086,23.94178212223696,141.43325988815815,254.20597059126882
2087,23.94334457655517,145.57560957706224,262.46697552485426
2088,23.944678904456964,149.77837884702046,270.79415151203864
2089,23.945818393443453,154.04156769803294,279.18183674212446
2090,23.946791479260106,158.36517613009957,287.6243841207954
2091,23.947622451577644,162.7492041432204,296.1161731942468
2092,23.948332057433174,167.1936517373954,304.6516214967757
2093,23.948938017135404,171.69851891262462,313.2251953062636
2094,23.9494554652528,176.26380566890802,321.8314197960139
2095,23.94989732750593,180.8895120062456,330.4648885752089
2096,23.950274642837954,185.57563792463736,339.12027261380814
2097,23.9505968386068,190.32218342408333,347.79232855102816
2098,23.95087196569996,195.1291485045835,356.4759063896069
2099,23.951106899392144,199.99653316613782,365.16595658087726
